"Name;Publisher;Year of Publication;Place of Publication;Permalink;Latitude;Longitude"
"[Kart over Nord-Europa];Camocio, Giovanni Francesco;1562;Venice;https://hdl.handle.net/10037.2/747;45.4408;12.3155"
"Septentrionalium regionum descrip.;Ortelius, Abraham;1592;Antwerp;https://hdl.handle.net/10037.2/748;51.2194;4.4025"
"Septentrionalium regionum descrip.;Ortelius, Abraham;1595;Antwerp;https://hdl.handle.net/10037.2/749;51.2194;4.4025"
"Septentrionalium regionum descrip.;Ortelius, Abraham;1601;Antwerp;https://hdl.handle.net/10037.2/750;51.2194;4.4025"
"Septentrionalium regionum descrip.;Ortelius, Abraham;1603;Antwerp;https://hdl.handle.net/10037.2/751;51.2194;4.4025"
"Septentrionalium regionum descrip.;Ortelius, Abraham;1608;Antwerp;https://hdl.handle.net/10037.2/752;51.2194;4.4025"
"Suecia et Noruegia cum confinys Per Gerardum Mercatorem;Mercator, Gerard;1613;Duisburg;https://hdl.handle.net/10037.2/753;51.4344;6.7623"
"Suecia et Noruegia cum confinys Per Gerardum Mercatorem;Mercator, Gerard;1619;Amsterdam;https://hdl.handle.net/10037.2/758;52.3676;4.9041"
"Suecia et Noruegia cum confinys Per Gerardum Mercatorem;Mercator, Gerard;1623;Amsterdam;https://hdl.handle.net/10037.2/759;52.3676;4.9041"
"Suecia et Noruegia cum confinys Per Gerardum Mercatorem;Mercator, Gerard;1630;Amsterdam;https://hdl.handle.net/10037.2/760;52.3676;4.9041"
"Suecia et Noruegia cum confinys Per Gerardum Mercatorem;Mercator, Gerard;1633;Amsterdam;https://hdl.handle.net/10037.2/761;52.3676;4.9041"
"Suecia et Noruegia cum confinys Per Gerardum Mercatorem;Mercator, Gerard;1634;Amsterdam;https://hdl.handle.net/10037.2/762;52.3676;4.9041"
"Deliniatio cartae trium navigationum per Batavos;Bry, Théodor de;1601;Frankfurt on the Main;https://hdl.handle.net/10037.2/741;50.1109;8.6821"
"Polus Arcticus, siue Tract[us] Septentrionalis;Quad, Matthias;1600;Cologne;https://hdl.handle.net/10037.2/742;50.9375;6.9603"
"Wahrhafftige entwerffung;Bry, Théodor de;1613;Frankfurt on the Main;https://hdl.handle.net/10037.2/743;50.1109;8.6821"
"Septentrionales Reg.;Ortelius, Abraham;1604;Frankfurt on the Main;https://hdl.handle.net/10037.2/744;50.1109;8.6821"
"Dania.;Ortelius, Abraham;1602;?;https://hdl.handle.net/10037.2/745;0;0"
"Wardhusium : icon seu delineato insulae Warthusii in Lappia sitae;Bry, Théodor de;1600;Frankfurt on the Main;https://hdl.handle.net/10037.2/746;50.1109;8.6821"
"Nortcaep;Becker, Matthäus;1612;Amsterdam;https://hdl.handle.net/10037.2/740;52.3676;4.9041"
"Septentrionalum regionu[m] descrip.;Keere, Pieter van den;1606;Amsterdam;https://hdl.handle.net/10037.2/739;52.3676;4.9041"
"Dania Pe. Kaerius fecit;Keere, Pieter van den;1606;Amsterdam;https://hdl.handle.net/10037.2/738;52.3676;4.9041"
"Septentrionalium regionum descriptio;Ortelius, Abraham;1599;Brescia;https://hdl.handle.net/10037.2/737;45.5416;10.2118"
"Septentrionalium Terrarum descriptio;Löw, Conrad;1597;Cologne;https://hdl.handle.net/10037.2/736;50.9375;6.9603"
"Scandia siue regiones septentrionales;Magini, Giovanni Antonio;1597;Cologne;https://hdl.handle.net/10037.2/735;50.9375;6.9603"
"Scandia, siue regiones septentrionales;Magini, Giovanni Antonio;1713;Padova;https://hdl.handle.net/10037.2/734;45.4064;11.8768"
"Scandia, siue regiones septentrionales;Magini, Giovanni Antonio;1596;Venice;https://hdl.handle.net/10037.2/733;45.4408;12.3155"
"Septentrionalium Regionum Suetiae Gothiae Noruegiae Daniae;Quad, Matthias;1608;Cologne;https://hdl.handle.net/10037.2/732;50.9375;6.9603"
"Sueciae regnum;Botero, Giovanni;1600;Cologne;https://hdl.handle.net/10037.2/731;50.9375;6.9603"
"Septemtrionales Reg.;Ortelius, Abraham and Galle, Philippe;1598;Antwerp;https://hdl.handle.net/10037.2/730;51.2194;4.4025"
"Dania et Noruegia;Botero, Giovanni;1599;Cologne;https://hdl.handle.net/10037.2/619;50.9375;6.9603"
"Svecia et Norvegia cum confinys Per Gerardum Mercatorem;Mercator, Gerard;1628;Amsterdam;https://hdl.handle.net/10037.2/618;52.3676;4.9041"
"Svecia et Norvegia cum confinys Per Gerardum Mercatorem;Mercator, Gerard;1611;Amsterdam;https://hdl.handle.net/10037.2/617;52.3676;4.9041"
"Gemeine Beschreibung aller Mitnächtigen Länder;Henricpetri, Sebastian;1628;Basel;https://hdl.handle.net/10037.2/616;47.5596;7.5886"
"Gemeine Beschreibung aller Mitnächtigen Länder;Henricpetri, Sebastian;1614;Basel;https://hdl.handle.net/10037.2/615;47.5596;7.5886"
"Suecia et Noruegia cum confinys Per Gerardum Mercatorem;Mercator, Gerard;1602;Duisburg and Düsseldorf;https://hdl.handle.net/10037.2/614;51.4344;6.7623"
"Suecia et Noruegia cum confinys Per Gerardum Mercatorem;Mercator, Gerard;1595;Duisburg and Düsseldorf;https://hdl.handle.net/10037.2/613;51.4344;6.7623"
"Vniuers[ae] Europ[ae] maritim[ae] eius[que] nauigationis descriptio;Waghenaer, Lucas Janszoon;1598;Leiden;https://hdl.handle.net/10037.2/612;52.1601;4.4970"
"Gemeine Beschreibung aller Mitnächtigen Länder;Henricpetri, Sebastian;1598;Basel;https://hdl.handle.net/10037.2/611;47.5596;7.5886"
"Gemeine Beschreibung aller Mitnächtigen Länder;Henricpetri, Sebastian;1598;Basel;https://hdl.handle.net/10037.2/610;47.5596;7.5886"
"Gemeine Beschreibung aller Mitnächtigen Länder;Henricpetri, Sebastian;1588;Basel;https://hdl.handle.net/10037.2/609;47.5596;7.5886"
"Suedia = Schweden = Suede;Hogenberg, Franz;1579 or 1580;Cologne;https://hdl.handle.net/10037.2/608;50.9375;6.9603"
"Dania = Danemarcha = Dennemarck = Danemarche;Hogenberg, Franz;1579 or 1580;Cologne;https://hdl.handle.net/10037.2/607;50.9375;6.9603"
